book,author,urls,text
Великий Наполеон, Борис Тененбаум,https://enjoybooks.pw/velikij-napoleon/,"Великий император, сформировавший основы могущественности Франции, полководец при многочисленных победоносных баталиях, войнах, переворотах. Таким Наполеона знает весь мир. Известно о … "
Вечная жизнь, Фредерик Бегбедер,https://enjoybooks.pw/vechnaya-zhizn/,"Очередной шедевр французского прозаика, известного по бестселлеру «Любовь живет три года», отображает изменения в суждениях главного героя и самого автора. … "
Сильнодействующее лекарство, Артур Хейли,https://enjoybooks.pw/silnodejstvuyushhee-lekarstvo/,В своем произведении автор открывает читателю мир фармацевтической промышленности с изнаночной стороны.   Такая тема затрагивает множество актуальных для современного мира … 
Смерть лорда Эджвера, Агата Кристи,https://enjoybooks.pw/smert-lorda-edzhvera/,Еще один увлекательный роман с участием бельгийского сыщика от одной из лучших писательниц детективного жанра. Действие происходит в Лондоне и … 
Хозяин, Александра Лисина,https://enjoybooks.pw/temnye-vremena-hozyain/,Увлекательное произведение современной российской писательницы из серии «Магия фэнтези» является третьей и завершающей книгой захватывающего цикла «Темные времена». Книга имеет … 
Танец с драконами. Книга 2. Искры над пеплом, Джордж Мартин,https://enjoybooks.pw/tanets-s-drakonami-kniga-2-iskry-nad-peplom/,"Масштабная война в полном разгаре, кровавый «танец драконов» охватил все королевства. И, кажется, этому бесконечному противостоянию нет ни конца, ни … "
Танец с драконами. Книга 1. Грёзы и пыль, Джордж Мартин,https://enjoybooks.pw/tanets-s-drakonami-kniga-1-gryozy-i-pyl/,Издавна война точилась за королевство. Ее называли: «танцем драконов». Море желающих хотели овладеть престолом и ощутить вкус власти. И сейчас … 
Белые искры снега, Анна Джейн,https://enjoybooks.pw/belye-iskry-snega/,"Главная героиня романа – Настя, молодая, красивая, целеустремленная девушка. Она привыкла быть самостоятельной, смелой, никогда не сдаваться и не опускать … "
Жизнь после жизни, Кейт Аткинсон,https://enjoybooks.pw/zhizn-posle-zhizni/,"Очень увлекательный, загадочный роман, который вдохновляет на размышления о вечном, о сущности человека на земле, о жизни и смерти. Что … "
Библиотека Душ, Ренсом Риггз,https://enjoybooks.pw/biblioteka-dush/,"Библиотека Душ столетиями была спрятана в глубинках Дьявольского Акра. Кто найдет ее, получит силу, очень большую и безграничную. Но разыскать … "
"Когда дыхание растворяется в воздухе. Иногда судьбе все равно, что ты врач", Пол Каланити,https://enjoybooks.pw/kogda-dyhanie-rastvoryaetsya-v-vozduhe-inogda-sudbe-vse-ravno-chto-ty-vrach/,"Потрясающая автобиографическая книга о жизни молодого, талантливого врача-нейрохирурга – Пола Каланити. Мечта Пола – стать профессором, и к ее осуществлению … "
45 татуировок менеджера. Правила российского руководителя, Максим Валерьевич Батырев,https://enjoybooks.pw/45-tatuirovok-menedzhera-pravila-rossijskogo-rukovoditelya/,"Татуировка – особенный символ, для его обладателя, она несет свой неповторимый смысл, является частицей характера, приобретённого опыта и мировоззрения. Татуировки … "
Спящий, Павел Николаевич Корнев,https://enjoybooks.pw/spyashhij/,"Вторая Империя медленно катится в пропасть…Столицу охватили постоянные стычки, акты вандализма, хулиганство и беспредел. Жрецы делают кровавые ритуалы, протестанты, анархисты … "
Былое величие Америки, Дональд Джон Трамп,https://enjoybooks.pw/byloe-velichie-ameriki/,"Захватывающая история об известном кандидате в президенты Америки – Дональде Трампе. Он очень неугомонный, харизматичный, эпатажный и непредсказуемый политический лидер, … "
Кваzи, Сергей Лукьяненко,https://enjoybooks.pw/kvazi/,"Апокалипсис – очень популярная, в последнее время, тематика фантастических фильмов и книг. Казалось бы, что еще нового мы можем услышать … "
Умереть снова, Тесс Герритсен,https://enjoybooks.pw/umeret-snova/,"Загадочная история с непредсказуемым запутанным сюжетом о детективе Джейн Риццоли, которая берется расследовать очень жестокое убийство охотника Леона Готта. Сын … "
Имидж напрокат, Дарья Донцова,https://enjoybooks.pw/imidzh-naprokat/,"Главная героиня Евлампия Романова случайно, по неосторожности падает с лестницы. К счастью, она не сломала и не повредила ничего, вот … "
Хроники книгоходцев, Милена Валерьевна Завойчинская,https://enjoybooks.pw/hroniki-knigohodtsev/,"Уже совсем не за горами получение диплома, а пока двое юных озорных студентов живут на полную катушку и берут от … "
Холодная вода Венисаны, Линор Горалик,https://enjoybooks.pw/holodnaya-voda-venisany/,"Увлекательное произведение талантливой российской писательницы, поэтессы, журналистки, переводчицы представлено в жанре фэнтези. Необычная книга завораживает с первых строк и не … "
"Девушка, которая лгала", Сью Фортин,https://enjoybooks.pw/devushka-kotoraya-lgala/,Оригинальный роман популярной британской писательницы написан в жанре «современная проза» и является книгой цикла «Психологический триллер». В основе сюжета – … 
Новые правила деловой переписки, Максим Ильяхов,https://enjoybooks.pw/novye-pravila-delovoj-perepiski/,"Современный мир неизбежно меняется, модернизируется, в том числе и бизнес-сфера. Сложившаяся культура деловой переписки также становится не совсем актуальной. Чрезмерная … "
Искусство понимать ребенка. 7 шагов к хорошей жизни, Светлана Кривцова,https://enjoybooks.pw/iskusstvo-ponimat-rebenka-7-shagov-k-horoshej-zhizni/,"Тема правильного воспитания все больше волнует современных родителей, желающих сделать первые годы своего ребенка максимально позитивными и приятными. Вспоминая не … "
Кроу. Суровые земли. Азы мастерства, Руслан Алексеевич Михайлов,https://enjoybooks.pw/krou-3/,"Захватывающий роман популярного современного автора написан в жанре фэнтези, новом его направлении ЛитРПГ и является одной из книг увлекательного одноименного … "
"Драйв, хайп и кайф", Дарья Александровна Калинина,https://enjoybooks.pw/drajv-hajp-i-kajf/,Увлекательное произведение российско-израильского автора представлено в детективном ироническом жанре. В основе увлекательного сюжета – захватывающая история Елизаветы Федоровны. Несмотря на … 
Русская канарейка. Трилогия в одном томе, Дина Ильинична Рубина,https://enjoybooks.pw/russkaya-kanarejka-trilogiya-v-odnom-tome/,"Произведение популярной российско-израильской писательницы состоит из трех частей: «Желтухин», «Голос» и «Блудный сын» и представлено в жанре современная семейная сага. … "
Наполеонов обоз. Рябиновый клин., Дина Ильинична Рубина,https://enjoybooks.pw/ryabinovyj-klin/,"Необычный роман популярной современной российско-израильской писательницы, киносценариста, обладательницы престижных литературных премий является одной из книг увлекательной трилогии «Наполеоновский обоз». В … "
Горький квест. Том 3, Александра Маринина,https://enjoybooks.pw/gorkij-kvest-tom-3/,"Завершающий роман трилогии популярной писательницы, которая написала свое оригинальное произведение в новом для себя амплуа. На этот раз она решила … "
Горький квест. Том 2, Александра Маринина,https://enjoybooks.pw/gorkij-kvest-tom-2/,"Второй том захватывающего произведения известной писательницы, работающей в жанрах полицейский детектив, триллер, современная проза, является своего рода экспериментом. В основе … "
Горький квест. Том 1, Александра Маринина,https://enjoybooks.pw/gorkij-kvest-tom-1/,"Необычный роман современной российской писательницы написан в жанрах: детектив, триллер и представляет собой своеобразный эксперимент. Автор собрала группу молодых людей … "
Свежеотбывшие на тот свет, Эдуард Вениаминович Лимонов,https://enjoybooks.pw/svezheotbyvshie-na-tot-svet/,"Произведение известного российского автора, публициста, политического деятеля представляет собой продолжение «Книги мертвых», где читатель узнает истории популярных людей, которых уже … "
Level Up. Нокаут, Данияр Саматович Сугралинов,https://enjoybooks.pw/level-up/,"Захватывающая книга известного современного казахстанского автора написана в популярном новом фэнтезийном жанре ЛитРПГ, основанном на субкультуре компьютерных игр, когда сюжет … "
Маяк на Хийумаа, Леонид Абрамович Юзефович,https://enjoybooks.pw/mayak-na-hijumaa/,"Увлекательная книга является сборником рассказов современного российского писателя, историка, лауреата нескольких почетных премий. В произведениях читатель встретится с большим количеством … "
Крокодил Гена и его друзья. Все приключения, Эдуард Николаевич Успенский,https://enjoybooks.pw/krokodil-gena-i-ego-druzya-vse-priklyucheniya/,Приятная милая история про крокодила Гену и его маленького ушастого друга знакома каждому с детства. Наизусть выучены остроумные цитаты и … 
"Два сапога. Книга о настоящей, невероятной и несносной любви", Ольга Савельева,https://enjoybooks.pw/dva-sapoga-kniga-o-nastoyashhej-neveroyatnoj-i-nesnosnoj-lyubvi/,"Увлекательная книга популярной современной российской писательницы, известного блогера с международной аудиторией более восьмидесяти тысяч человек, прекрасного лектора написана в жанрах … "
Прыжок в длину, Ольга Александровна Славникова,https://enjoybooks.pw/pryzhok-v-dlinu/,"Произведение популярной писательницы, эссеиста, журналиста, культуртрегера представлено в жанре современная проза и наполнено глубоким житейским смыслом. В основе сюжета – … "
Ж*па: инструкция по выходу, Константин Николаевич Довлатов,https://enjoybooks.pw/zh-pa-instruktsiya-po-vyhodu/,Произведение с довольно провокационным названием поможет читателю расширить новые горизонты психологии и позволит кардинально изменить свою жизнь в лучшую сторону. … 
Пламя и кровь. Кровь драконов, Джордж Р. Р. Мартин,https://enjoybooks.pw/plamya-i-krov-krov-drakonov/,"Поклонникам всемирно известного фэнтезийного сериала «Игра престолов» и исходного цикла книг придется по душе это произведение. В нем описаны события, … "
Неестественные причины, Филлис Дороти Джеймс,https://enjoybooks.pw/neestestvennye-prichiny/,"Захватывающее произведение выдающейся английской писательницы, автора популярных детективов, является третьей книгой увлекательной серии «Инспектор Адам Дэлглиш». В основе интригующего сюжета … "
Неизвестный с «Драккара», Константин Николаевич Муравьев,https://enjoybooks.pw/neizvestnyj-s-drakkara/,Увлекательный роман современного российского писателя-фантаста является второй книгой захватывающего цикла «Неучтенный» и представлен в жанре космическое фэнтези. Автор использует в … 
Серая чума, Александр Валентинович Рудазов,https://enjoybooks.pw/seraya-chuma/,"Необычный роман известного автора-фантаста является четвертой книгой увлекательного цикла «Архимаг». В новой книге читатель опять встретиться с Креолом, верховным магом … "
Язычник, Александр Мазин,https://enjoybooks.pw/yazychnik/,"Увлекательное произведение известного популярного современного российского музыканта, поэта, писателя, работающего в жанрах фэнтези, детектива и исторического романа, является пятой по … "
Жениться и обезвредить, Андрей Олегович Белянин,https://enjoybooks.pw/zhenitsya-i-obezvredit/,"Увлекательное произведение талантливого российского поэта и прозаика, пишущего преимущественно в жанре фэнтези, является завершающей книгой захватывающего цикла «Тайный сыск царя … "
Рассвет, Стефани Майер,https://enjoybooks.pw/rassvet/,"Это четвертый по счету роман-бестселлер известной американской писательницы, ставшей популярной благодаря циклу произведений под названием «Сумерки». Книга написана в жанре … "
Ярость богов, Руслан Алексеевич Михайлов,https://enjoybooks.pw/yarost-bogov/,Роман популярного автора представлен в жанрах фэнтези и ЛитРПГ и является третьей книгой увлекательной серии «Мир Вальдиры». Это продолжение незабываемых … 
Завтра война, Александр Зорич,https://enjoybooks.pw/zavtra-vojna/,"Захватывающее произведение известного писательского тандема, работающего в жанре научное фэнтези, а также пишущего исторические рассказы и романы, является первой книгой … "
Непоседа, Сергей Лукьяненко,https://enjoybooks.pw/neposeda/,Увлекательный роман известного современного российского автора является второй книгой захватывающей серии «Трикс». Сам писатель определяет жанр своих произведений как фантастику … 
Ребус Галла, Вадим Юрьевич Панов,https://enjoybooks.pw/rebus-galla/,Захватывающий роман популярного автора представлен в жанре боевое фэнтези и принадлежит увлекательному циклу «Тайный город». Писателю удалось создать загадочный и … 
О бедном Кощее замолвите слово, Ольга Громыко,https://enjoybooks.pw/o-bednom-koshhee-zamolvite-slovo/,"Увлекательное произведение популярной белорусской писательницы представлено в жанре юмористическое фэнтези и является первой книгой захватывающей дилогии «Сказка – ложь, узнайте … "
Инженер с Земли, Алексей Константинович Чижовский,https://enjoybooks.pw/inzhener-s-zemli/,"Увлекательный роман современного популярного российского автора написан в жанре космическое, боевое фэнтези и является первой книгой цикла с одноименным названием. … "
Мятеж на окраине Галактики, Роман Валерьевич Злотников,https://enjoybooks.pw/myatezh-na-okraine-galaktiki/,"Увлекательный роман современного российского писателя, работающего преимущественно в жанре научной фантастики и фэнтези, является одной из книг неповторимой серии «Берсерки». … "
Стезя и место, Евгений Сергеевич Красницкий,https://enjoybooks.pw/stezya-i-mesto/,"Захватывающее произведение талантливого российского автора написано в жанре фэнтези и представляет историю юноши, который живет в далеком двенадцатом веке, когда … "
Слово воина, Александр Дмитриевич Прозоров,https://enjoybooks.pw/slovo-voina/,"Захватывающее произведение современного российского писателя, работающего в жанре реальной фантастики, является первым романом увлекательного цикла «Ведун». Интересная интерпретация языческого прошлого, … "
В купе, Автор неизвестен,https://enjoybooks.pw/v-kupe/,"Сборник необычных рассказов произведет особенное впечатление на требовательных любителей «клубнички». В нестандартных произведениях подробно описывается эмоциональное состояние колоритных персонажей, их … "
Кристалл Альвандера, Сергей Садов,https://enjoybooks.pw/kristall-alvandera/,Увлекательное произведение популярного российского автора представлено в жанре космическое фэнтези и является одним из романов захватывающего цикла «Возвращенные звезды». Известный … 
Конкуренты, Сергей Лукьяненко,https://enjoybooks.pw/konkurenty/,"В своем произведении известный российский автор-фантаст решил немножечко поэкспериментировать, поэтому назвал жанр своего романа «космооперой». Всем известно, что компьютерные игры … "
И снова война, Станислав Сергеевич Сергеев,https://enjoybooks.pw/i-snova-vojna/,"Хорошее, качественное фэнтези с использованием популярного способа попаданчества от известного российского автора. Увлекательное произведение является второй книгой оригинальной серии «Достойны … "
Основатель, Алексей Юрьевич Пехов,https://enjoybooks.pw/osnovatel/,"Захватывающее произведение известного российского автора, работающего преимущественно в жанре фэнтези, является третьей книгой увлекательного цикла «Киндрэт». В основе неповторимого сюжета … "
